"hey idiot
",other_cyberbullying,81.85%
hello idiot,other_cyberbullying,82.23%
Hello dark web,other_cyberbullying,47.65%,2025-10-03 18:33:18
Hello dark web,other_cyberbullying,47.65%,2025-10-03 18:34:13
Not one of my middle school bullies liking me on hinge,age,99.94%,2025-10-03 18:35:29
"""You are so stupid, why are you even here?""",other_cyberbullying,31.94%,2025-10-03 18:37:44
"""You have no friends because you are worthless.""",other_cyberbullying,40.45%,2025-10-03 18:38:24
"""I will make sure you regret this.""",other_cyberbullying,44.39%,2025-10-03 18:38:42
"""I will make sure you regret this.""",other_cyberbullying,44.39%,2025-10-03 18:38:47
"""I will make sure you regret this.""",other_cyberbullying,44.39%,2025-10-03 18:38:51
"""You are ugly and nobody wants you.""",religion,28.07%,2025-10-03 18:39:07
"hey you are ;ike an idiot
",other_cyberbullying,51.58%,41.1,2025-10-03 18:48:19
"hello idiot
",other_cyberbullying,82.23%,62.6,2025-10-04 16:29:49
"hey idiot
",other_cyberbullying,81.85%,62.3,2025-10-04 16:50:21
idiot,other_cyberbullying,58.20,45.7,2025-10-04 17:41:16
idiot,other_cyberbullying,58.20%,45.7,2025-10-04 17:56:29
idiot,other_cyberbullying,58.20%,45.7,2025-10-04 18:14:52
hello idiot,other_cyberbullying,82.23%,62.6,2025-10-04 18:44:09
"
idiot",other_cyberbullying,58.20%,45.7,2025-10-04 18:44:24
